region_code,jobs(1000s),median_pay,mean_pay,latest_monthly_rent,annual_rent,rent_2015_16,rent_2016_17,rent_2017_18,rent_2018_19,rent_2019_20,rent_2020_21,rent_2021_22,rent_2022_23,rent_2023_24,region,rent_to_salary_ratio,affordability_ratio,money_after_rent,rent_pct_of_salary,Median_x,Mean_x,Median_y,Mean_y,male_median,male_mean,female_median,female_mean,gender_pay_gap_pct,male_rent_pct,female_rent_pct,rent_gap_pp,male_after_rent,female_after_rent,money_gap_gbp
E12000001,845.0,28547.0,32557.0,641.0,7692.0,535.0,547.0,554.0,556.0,559.0,568.0,585.0,607.0,641.0,North East,0.2694503800749641,3.7112584503380135,20855.0,26.9,33168,38103,24373,27216,33168,38103,24373,27216,26.516521948866377,23.2,31.5595125753908,8.4,25476.0,16681.0,8795.0
E12000002,2502.0,30198.0,35150.0,788.0,9456.0,600.0,613.0,628.0,642.0,651.0,665.0,687.0,731.0,788.0,North West,0.313133320087423,3.193527918781726,20742.0,31.3,35310,41557,25836,28848,35310,41557,25836,28848,26.83092608326253,26.8,36.600092893636784,9.8,25854.0,16380.0,9474.0
E12000003,1905.0,29932.0,33965.0,751.0,9012.0,587.0,594.0,608.0,617.0,631.0,645.0,663.0,702.0,751.0,Yorkshire and The Humber,0.30108245356140584,3.3213493120284068,20920.0,30.1,35299,40236,25057,27849,35299,40236,25057,27849,29.014986260234,25.5,35.965997525641534,10.5,26287.0,16045.0,10242.0
E12000004,1696.0,29818.0,33948.0,772.0,9264.0,575.0,589.0,609.0,635.0,653.0,665.0,688.0,725.0,772.0,East Midlands,0.31068482124891006,3.2186960276338517,20554.0,31.1,35349,40782,24335,27009,35349,40782,24335,27009,31.157882825539616,26.2,38.06862543661393,11.9,26085.0,15071.0,11014.0
E12000005,1902.0,29917.0,34713.0,823.0,9876.0,627.0,647.0,667.0,680.0,694.0,710.0,734.0,765.0,823.0,West Midlands,0.33011331350068523,3.0292628594572704,20041.0,33.0,34638,39906,24882,29493,34638,39906,24882,29493,28.165598475662566,28.5,39.691343139619,11.2,24762.0,15006.0,9756.0
E12000006,2281.0,32940.0,40552.0,1091.0,13092.0,827.0,873.0,905.0,922.0,940.0,949.0,987.0,1031.0,1091.0,East,0.3974499089253188,2.5160403299725025,19848.0,39.7,39103,49629,27001,31250,39103,49629,27001,31250,30.94903204357722,33.5,48.48709307062701,15.0,26011.0,13909.0,12102.0
E12000007,2788.0,38293.0,51469.0,1957.0,23484.0,1643.0,1695.0,1698.0,1681.0,1723.0,1745.0,1709.0,1785.0,1957.0,London,0.6132713550779516,1.6305995571452905,14809.0,61.3,43320,63013,33997,40790,43320,63013,33997,40790,21.52123730378578,54.2,69.07668323675618,14.9,19836.0,10513.0,9323.0
E12000008,3476.0,34083.0,42314.0,1229.0,14748.0,951.0,997.0,1024.0,1037.0,1057.0,1065.0,1091.0,1146.0,1229.0,South East,0.4327083883460963,2.3110252237591538,19335.0,43.3,40933,51731,28041,33175,40933,51731,28041,33175,31.49537048347299,36.0,52.59441532042367,16.6,26185.0,13293.0,12892.0
E12000009,2003.0,30076.0,34378.0,1072.0,12864.0,792.0,822.0,851.0,866.0,884.0,904.0,945.0,1002.0,1072.0,South West,0.4277164516558053,2.337997512437811,17212.0,42.8,36036,41329,24840,27323,36036,41329,24840,27323,31.06893106893107,35.7,51.787439613526566,16.1,23172.0,11976.0,11196.0
