time_period,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,London,South East,South West,Wales,Scotland
Feb 2018,126444,157519,155694,187235,190682,477860,321375,250793,153210,145982
Mar 2018,124038,155625,156466,184845,190077,472357,319876,250615,154022,144655
Apr 2018,128330,157768,157431,187276,191375,477253,321353,250254,153574,148427
May 2018,128840,158823,159541,188826,191299,478485,321825,251132,154756,148621
Jun 2018,128049,160314,160484,189259,193886,479931,324665,252603,156864,149960
Jul 2018,131245,162345,162020,191231,196297,484724,327091,256893,158626,151777
Aug 2018,130376,163092,164088,192610,196757,479550,328061,258465,161024,152138
Sep 2018,130223,163068,162180,194049,198120,476545,327054,258839,160265,151446
Oct 2018,130759,163838,161750,191666,197972,480057,324475,256898,160955,151528
Nov 2018,128894,163186,161471,192979,196446,474347,323266,256928,160158,149556
Dec 2018,128696,162769,162130,191694,198469,473252,321118,256577,162234,148269
Jan 2019,125448,161409,160341,191237,195498,470067,322226,254632,158548,149769
Feb 2019,124533,162066,159284,190990,197368,466068,320095,255243,159018,146892
Mar 2019,124666,160670,160771,190586,195058,464162,317129,253051,159904,149625
Apr 2019,128863,162254,161839,191571,195476,469537,318912,252921,161456,150794
May 2019,128851,163986,162208,191927,197002,463628,318250,252527,161628,151417
Jun 2019,129511,163809,163658,192029,196679,470519,320835,252692,162908,152680
Jul 2019,129844,166118,164990,193480,197675,478505,322549,258177,164440,154776
Aug 2019,131440,167693,165547,195345,200304,472729,322720,258322,168215,154195
Sep 2019,131917,167011,165445,194867,200466,477146,323762,258780,164414,154874
Oct 2019,129316,166780,166226,194705,199973,472668,322285,258647,166281,153953
Nov 2019,129493,166081,164876,194873,200095,468757,322200,256540,168516,152528
Dec 2019,129310,165148,165654,194489,198301,479153,321278,256349,166433,150287
Jan 2020,127346,164563,164553,195100,201060,475948,321704,257494,163205,153518
Feb 2020,126993,164760,164353,193480,198974,474480,318182,256208,165953,149582
Mar 2020,128306,166588,165360,195701,199637,482605,323167,259458,167040,150625
Apr 2020,123222,163904,160140,195185,195075,476159,325154,256514,160039,151779
May 2020,127999,164258,164970,194596,200156,473225,320817,256208,162701,152914
Jun 2020,129666,168769,167941,198494,201330,479969,322024,259382,167384,155329
Jul 2020,130778,171303,168740,200434,203527,483830,325748,263582,168416,154582
Aug 2020,131543,173316,171000,200918,205908,489424,329417,265158,172999,154707
Sep 2020,134794,174352,171828,201616,207291,493205,331926,269727,170030,160585
Oct 2020,134715,177827,174360,204424,208805,486212,332489,271744,175948,163019
Nov 2020,137358,178595,178145,207054,210348,494552,336738,273200,178255,164032
Dec 2020,138980,181696,179316,209567,213578,494193,337686,276477,181274,162375
Jan 2021 [r],140177,183245,181026,209914,213480,494231,335038,273131,179375,164049
Feb 2021 [r],141418,186048,182031,212387,216231,490544,335091,274258,177892,161707
Mar 2021 [r],143931,189119,183530,213503,218254,499098,339759,278371,183409,167267
Apr 2021 [r],141591,185460,179935,210401,214990,488928,336624,275150,181293,160779
May 2021 [r],141412,185897,181902,211382,216618,488226,337736,272420,183783,168277
Jun 2021 [r],153360,201302,195612,223684,230574,502730,352113,292126,194692,171734
Jul 2021 [r],142048,184663,179561,210621,217263,494873,337226,268088,186015,175410
Aug 2021 [r],144808,191778,185811,217402,222712,509859,348169,282236,190400,177353
Sep 2021 [r],155276,201233,195330,225815,229291,506165,358906,294186,195977,177520
Oct 2021 [r],144593,190370,184588,220981,221575,504044,351489,286058,197445,177651
Nov 2021 [r],146288,196340,190254,224431,227331,511555,357688,294363,196990,179644
Dec 2021 [r],148218,199414,191960,226723,230710,511732,359997,295536,200391,175841
Jan 2022 [r],148620,200830,193682,228458,230951,514926,366150,302166,202653,180855
Feb 2022 [r],148715,200956,195323,229645,233199,515111,365464,302145,200513,177299
Mar 2022 [r],151534,202087,194612,231513,235807,513434,367372,302616,202201,178143
Apr 2022 [r],152585,205257,196634,233325,236450,518640,368273,307775,206900,181908
May 2022 [r],153615,207095,200993,235944,240083,517726,374110,312894,207577,184552
Jun 2022 [r],156039,208819,203076,240343,240734,534106,378401,310598,211808,188113
Jul 2022 [r],159822,214543,206603,242557,248502,537285,384683,321204,215053,190136
Aug 2022 [r],160374,215891,207964,246609,249000,542387,388832,326269,215643,190479
Sep 2022 [r],161457,218279,209423,246555,251063,541284,389829,326759,219766,188650
Oct 2022 [r],162249,217427,210217,247087,252712,533427,389678,326440,220505,189002
Nov 2022 [r],161342,218115,210614,248048,251138,536012,388367,326986,218435,187437
Dec 2022 [r],159920,216336,210111,248453,250872,532100,387855,320651,219372,181983
Jan 2023 [r],160326,212663,205320,244579,247850,536314,384193,317432,214871,181186
Feb 2023 [r],155816,210877,204413,242917,249566,527776,381057,318027,213351,177921
Mar 2023 [r],153396,208497,200023,240420,240338,517436,378235,315318,211192,179896
Apr 2023 [r],156182,208425,202848,240772,241618,522359,377596,313694,207500,182140
May 2023 [r],154940,209870,201169,239677,244238,517390,375709,313836,210974,186965
Jun 2023 [r],157767,211677,205737,243904,245524,518051,377380,313619,211877,185052
Jul 2023 [r],158573,213446,207921,244078,247954,521888,379475,315887,214237,187527
Aug 2023 [r],164060,214750,211133,246892,250587,525232,382164,320776,215391,191241
Sep 2023 [r],160303,215025,206939,245251,250153,525744,380272,317374,215634,188385
Oct 2023 [r],160892,215181,209657,243733,248130,515832,378293,318726,215213,188382
Nov 2023 [r],161272,214509,208297,244876,247148,512727,378377,315442,213876,189047
Dec 2023 [r],159607,216751,206810,243738,247862,513263,373392,312781,213938,186138
Jan 2024 [r],155487,214297,202967,238642,245334,506241,369021,315297,209844,188870
Feb 2024 [p],160406,213890,204754,241950,242429,502690,373018,316834,210717,187807
